TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 3 LONCO_001
Start Date:,19-08-2024
Start Time:,20:02:44
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,69
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,0.000
,Time of Minimum:,20:02:45
,Date of Minimum:,19-08-2024
,Maximum:,0.001
,Time of Maximum:,20:03:01
,Date of Maximum:,19-08-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
19-08-2024,20:44:19,0.220
19-08-2024,20:44:20,0.212
19-08-2024,20:44:21,0.223
19-08-2024,20:44:22,0.265
19-08-2024,20:44:23,0.255
19-08-2024,20:44:24,0.216
19-08-2024,20:44:25,0.187
19-08-2024,20:44:26,0.186
19-08-2024,20:44:27,0.188
19-08-2024,20:44:28,0.182
19-08-2024,20:44:29,0.182
19-08-2024,20:44:30,0.188
19-08-2024,20:44:31,0.197
19-08-2024,20:44:32,0.198
19-08-2024,20:44:33,0.196
19-08-2024,20:44:34,0.205
19-08-2024,20:44:35,0.208
19-08-2024,20:44:36,0.205
19-08-2024,20:44:37,0.201
19-08-2024,20:44:38,0.189
19-08-2024,20:44:39,0.186
19-08-2024,20:44:40,0.200
19-08-2024,20:44:41,0.198
19-08-2024,20:44:42,0.188
19-08-2024,20:44:43,0.187
19-08-2024,20:44:44,0.196
19-08-2024,20:44:45,0.198
19-08-2024,20:44:46,0.201
19-08-2024,20:44:47,0.204
19-08-2024,20:44:48,0.202
19-08-2024,20:44:49,0.193
19-08-2024,20:44:50,0.182
19-08-2024,20:44:51,0.184
19-08-2024,20:44:52,0.190
19-08-2024,20:44:53,0.192
19-08-2024,20:44:54,0.212
19-08-2024,20:44:55,0.270
19-08-2024,20:44:56,0.340
19-08-2024,20:44:57,0.401
19-08-2024,20:44:58,0.378
19-08-2024,20:44:59,0.344
19-08-2024,20:45:00,0.316
19-08-2024,20:45:01,0.300
19-08-2024,20:45:02,0.328
19-08-2024,20:45:03,0.392
19-08-2024,20:45:04,0.543
19-08-2024,20:45:05,0.567
19-08-2024,20:45:06,0.420
19-08-2024,20:45:07,0.399
19-08-2024,20:45:08,0.442
19-08-2024,20:45:09,0.473
19-08-2024,20:45:10,0.482
19-08-2024,20:45:11,0.481
19-08-2024,20:45:12,0.495
19-08-2024,20:45:13,0.517
19-08-2024,20:45:14,0.517
19-08-2024,20:45:15,0.501
19-08-2024,20:45:16,0.530
19-08-2024,20:45:17,0.557
19-08-2024,20:45:18,0.552
19-08-2024,20:45:19,0.554
19-08-2024,20:45:20,0.539
19-08-2024,20:45:21,0.485
19-08-2024,20:45:22,0.436
19-08-2024,20:45:23,0.440
19-08-2024,20:45:24,0.459
19-08-2024,20:45:25,0.486
19-08-2024,20:45:26,0.500
19-08-2024,20:45:27,0.515
19-08-2024,20:45:28,0.528
19-08-2024,20:45:29,0.521
19-08-2024,20:45:30,0.518
19-08-2024,20:45:31,0.520
19-08-2024,20:45:32,0.522
19-08-2024,20:45:33,0.483
19-08-2024,20:45:34,0.465
19-08-2024,20:45:35,0.491
19-08-2024,20:45:36,0.495
