TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,009
Test Abbreviation:,TEST 3 LONCO_009
Start Date:,28-07-2024
Start Time:,00:31:33
Duration (dd:hh:mm:ss):,0:00:03:00
Log Interval (mm:ss):,00:01
Number of points:,188
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0,091
,Minimum:,0,077
,Time of Minimum:,00:34:29
,Date of Minimum:,28-07-2024
,Maximum:,0,104
,Time of Maximum:,00:31:57
,Date of Maximum:,28-07-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
28-07-2024,20:25:04,0,000
28-07-2024,20:25:05,0,000
28-07-2024,20:25:06,0,000
28-07-2024,20:25:07,0,000
28-07-2024,20:25:08,0,000
28-07-2024,20:25:09,0,000

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,014
Test Abbreviation:,TEST 3 LONCO_014
Start Date:,28-07-2024
Start Time:,20:27:19
Duration (dd:hh:mm:ss):,0:00:03:00
Log Interval (mm:ss):,00:01
Number of points:,202
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0,045
,Minimum:,0,040
,Time of Minimum:,20:27:20
,Date of Minimum:,28-07-2024
,Maximum:,0,052
,Time of Maximum:,20:29:03
,Date of Maximum:,28-07-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
28-07-2024,20:27:20,0,040
28-07-2024,20:27:21,0,040
28-07-2024,20:27:22,0,041
28-07-2024,20:27:23,0,043
28-07-2024,20:27:24,0,045
28-07-2024,20:27:25,0,043
28-07-2024,20:27:26,0,042
28-07-2024,20:27:27,0,041
28-07-2024,20:27:28,0,043
28-07-2024,20:27:29,0,042
28-07-2024,20:27:30,0,043
28-07-2024,20:27:31,0,044
28-07-2024,20:27:32,0,044
28-07-2024,20:27:33,0,043
28-07-2024,20:27:34,0,043
28-07-2024,20:27:35,0,043
28-07-2024,20:27:36,0,045
28-07-2024,20:27:37,0,043
28-07-2024,20:27:38,0,042
28-07-2024,20:27:39,0,045
28-07-2024,20:27:40,0,046
28-07-2024,20:27:41,0,043
28-07-2024,20:27:42,0,043
28-07-2024,20:27:43,0,043
28-07-2024,20:27:44,0,042
28-07-2024,20:27:45,0,044
28-07-2024,20:27:46,0,046
28-07-2024,20:27:47,0,046
28-07-2024,20:27:48,0,044
28-07-2024,20:27:49,0,044
28-07-2024,20:27:50,0,046
28-07-2024,20:27:51,0,043
28-07-2024,20:27:52,0,043
28-07-2024,20:27:53,0,045
28-07-2024,20:27:54,0,044
28-07-2024,20:27:55,0,041
28-07-2024,20:27:56,0,044
28-07-2024,20:27:57,0,045
28-07-2024,20:27:58,0,042
28-07-2024,20:27:59,0,040
28-07-2024,20:28:00,0,040
28-07-2024,20:28:01,0,041
28-07-2024,20:28:02,0,042
