TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 3 LONCO_001
Start Date:,26-09-2024
Start Time:,20:56:04
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,64
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,-0.001
,Time of Minimum:,20:56:06
,Date of Minimum:,26-09-2024
,Maximum:,0.003
,Time of Maximum:,20:56:36
,Date of Maximum:,26-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
26-09-2024,21:35:04,0.091
26-09-2024,21:35:05,0.089
26-09-2024,21:35:06,0.090
26-09-2024,21:35:07,0.085
26-09-2024,21:35:08,0.082
26-09-2024,21:35:09,0.087
26-09-2024,21:35:10,0.085
26-09-2024,21:35:11,0.085
26-09-2024,21:35:12,0.086
26-09-2024,21:35:13,0.082
26-09-2024,21:35:14,0.077
26-09-2024,21:35:15,0.075
26-09-2024,21:35:16,0.077
26-09-2024,21:35:17,0.079
26-09-2024,21:35:18,0.076
26-09-2024,21:35:19,0.075
26-09-2024,21:35:20,0.079
26-09-2024,21:35:21,0.078
26-09-2024,21:35:22,0.078
26-09-2024,21:35:23,0.081
26-09-2024,21:35:24,0.080
26-09-2024,21:35:25,0.081
26-09-2024,21:35:26,0.083
26-09-2024,21:35:27,0.090
26-09-2024,21:35:28,0.099
26-09-2024,21:35:29,0.104
26-09-2024,21:35:30,0.105
26-09-2024,21:35:31,0.113
26-09-2024,21:35:32,0.118
26-09-2024,21:35:33,0.120
26-09-2024,21:35:34,0.125
26-09-2024,21:35:35,0.142
26-09-2024,21:35:36,0.161
26-09-2024,21:35:37,0.161
26-09-2024,21:35:38,0.162
26-09-2024,21:35:39,0.164
26-09-2024,21:35:40,0.173
26-09-2024,21:35:41,0.177
26-09-2024,21:35:42,0.171
26-09-2024,21:35:43,0.173
26-09-2024,21:35:44,0.174
26-09-2024,21:35:45,0.178
26-09-2024,21:35:46,0.183
26-09-2024,21:35:47,0.195
26-09-2024,21:35:48,0.216
26-09-2024,21:35:49,0.215
26-09-2024,21:35:50,0.215
26-09-2024,21:35:51,0.213
26-09-2024,21:35:52,0.199
26-09-2024,21:35:53,0.203
26-09-2024,21:35:54,0.205
26-09-2024,21:35:55,0.186
26-09-2024,21:35:56,0.169
26-09-2024,21:35:57,0.169
26-09-2024,21:35:58,0.178
26-09-2024,21:35:59,0.190
26-09-2024,21:36:00,0.200
26-09-2024,21:36:01,0.212
26-09-2024,21:36:02,0.224
26-09-2024,21:36:03,0.227
26-09-2024,21:36:04,0.236
26-09-2024,21:36:05,0.244
26-09-2024,21:36:06,0.242
26-09-2024,21:36:07,0.215
26-09-2024,21:36:08,0.195
26-09-2024,21:36:09,0.215
26-09-2024,21:36:10,0.232
26-09-2024,21:36:11,0.242
26-09-2024,21:36:12,0.236
26-09-2024,21:36:13,0.220
26-09-2024,21:36:14,0.214
26-09-2024,21:36:15,0.201
26-09-2024,21:36:16,0.210
26-09-2024,21:36:17,0.219
26-09-2024,21:36:18,0.198
26-09-2024,21:36:19,0.185
26-09-2024,21:36:20,0.193
26-09-2024,21:36:21,0.178
26-09-2024,21:36:22,0.133
26-09-2024,21:36:23,0.111
26-09-2024,21:36:24,0.100
26-09-2024,21:36:25,0.101
26-09-2024,21:36:26,0.099
26-09-2024,21:36:27,0.098
26-09-2024,21:36:28,0.100
26-09-2024,21:36:29,0.101
26-09-2024,21:36:30,0.106
26-09-2024,21:36:31,0.103
26-09-2024,21:36:32,0.104
26-09-2024,21:36:33,0.103
26-09-2024,21:36:34,0.101
26-09-2024,21:36:35,0.104
26-09-2024,21:36:36,0.110
26-09-2024,21:36:37,0.115
26-09-2024,21:36:38,0.119
26-09-2024,21:36:39,0.120
26-09-2024,21:36:40,0.121
26-09-2024,21:36:41,0.143
26-09-2024,21:36:42,0.223
26-09-2024,21:36:43,0.290
26-09-2024,21:36:44,0.202
26-09-2024,21:36:45,0.116
26-09-2024,21:36:46,0.115
26-09-2024,21:36:47,0.206
26-09-2024,21:36:48,0.375
26-09-2024,21:36:49,0.272
26-09-2024,21:36:50,0.170
26-09-2024,21:36:51,0.173
26-09-2024,21:36:52,0.192
26-09-2024,21:36:53,0.222
26-09-2024,21:36:54,0.232
26-09-2024,21:36:55,0.237
26-09-2024,21:36:56,0.240
26-09-2024,21:36:57,0.236
26-09-2024,21:36:58,0.234
26-09-2024,21:36:59,0.208
26-09-2024,21:37:00,0.151
26-09-2024,21:37:01,0.106
26-09-2024,21:37:02,0.076
26-09-2024,21:37:03,0.066
26-09-2024,21:37:04,0.066
26-09-2024,21:37:05,0.067
26-09-2024,21:37:06,0.066
26-09-2024,21:37:07,0.066
26-09-2024,21:37:08,0.065
26-09-2024,21:37:09,0.065
26-09-2024,21:37:10,0.063
26-09-2024,21:37:11,0.065
26-09-2024,21:37:12,0.069
26-09-2024,21:37:13,0.067
26-09-2024,21:37:14,0.065
26-09-2024,21:37:15,0.066
26-09-2024,21:37:16,0.064
26-09-2024,21:37:17,0.062
26-09-2024,21:37:18,0.064
26-09-2024,21:37:19,0.064
26-09-2024,21:37:20,0.063
26-09-2024,21:37:21,0.065
26-09-2024,21:37:22,0.065
26-09-2024,21:37:23,0.064
26-09-2024,21:37:24,0.063
26-09-2024,21:37:25,0.066
26-09-2024,21:37:26,0.080
26-09-2024,21:37:27,0.085
26-09-2024,21:37:28,0.076
26-09-2024,21:37:29,0.070
26-09-2024,21:37:30,0.065
26-09-2024,21:37:31,0.064
26-09-2024,21:37:32,0.074
26-09-2024,21:37:33,0.102
26-09-2024,21:37:34,0.123
26-09-2024,21:37:35,0.127
26-09-2024,21:37:36,0.103
26-09-2024,21:37:37,0.103
26-09-2024,21:37:38,0.092
26-09-2024,21:37:39,0.083
26-09-2024,21:37:40,0.077
26-09-2024,21:37:41,0.077
26-09-2024,21:37:42,0.078
26-09-2024,21:37:43,0.095
26-09-2024,21:37:44,0.148
26-09-2024,21:37:45,0.201
26-09-2024,21:37:46,0.213
26-09-2024,21:37:47,0.188
26-09-2024,21:37:48,0.165
26-09-2024,21:37:49,0.248
26-09-2024,21:37:50,0.342
26-09-2024,21:37:51,0.264
26-09-2024,21:37:52,0.146
26-09-2024,21:37:53,0.094
26-09-2024,21:37:54,0.081
26-09-2024,21:37:55,0.078
26-09-2024,21:37:56,0.079
26-09-2024,21:37:57,0.076
26-09-2024,21:37:58,0.081
26-09-2024,21:37:59,0.086
26-09-2024,21:38:00,0.086
26-09-2024,21:38:01,0.084
26-09-2024,21:38:02,0.083
26-09-2024,21:38:03,0.080
26-09-2024,21:38:04,0.078
26-09-2024,21:38:05,0.079
26-09-2024,21:38:06,0.077
26-09-2024,21:38:07,0.077
26-09-2024,21:38:08,0.079
26-09-2024,21:38:09,0.077
26-09-2024,21:38:10,0.077
26-09-2024,21:38:11,0.080
26-09-2024,21:38:12,0.081
26-09-2024,21:38:13,0.080
26-09-2024,21:38:14,0.088
26-09-2024,21:38:15,0.100
26-09-2024,21:38:16,0.110
26-09-2024,21:38:17,0.113
26-09-2024,21:38:18,0.104
26-09-2024,21:38:19,0.103
26-09-2024,21:38:20,0.102
26-09-2024,21:38:21,0.105
26-09-2024,21:38:22,0.108
26-09-2024,21:38:23,0.110
26-09-2024,21:38:24,0.106
26-09-2024,21:38:25,0.094
26-09-2024,21:38:26,0.085
26-09-2024,21:38:27,0.083
26-09-2024,21:38:28,0.083
26-09-2024,21:38:29,0.085
26-09-2024,21:38:30,0.094
26-09-2024,21:38:31,0.111
26-09-2024,21:38:32,0.137
26-09-2024,21:38:33,0.157
26-09-2024,21:38:34,0.156
26-09-2024,21:38:35,0.162
26-09-2024,21:38:36,0.185
26-09-2024,21:38:37,0.193
26-09-2024,21:38:38,0.189
26-09-2024,21:38:39,0.177
26-09-2024,21:38:40,0.161
26-09-2024,21:38:41,0.154
26-09-2024,21:38:42,0.160
26-09-2024,21:38:43,0.168
26-09-2024,21:38:44,0.172
26-09-2024,21:38:45,0.166
26-09-2024,21:38:46,0.164
26-09-2024,21:38:47,0.163
26-09-2024,21:38:48,0.166
26-09-2024,21:38:49,0.174
26-09-2024,21:38:50,0.198
26-09-2024,21:38:51,0.217
26-09-2024,21:38:52,0.246
26-09-2024,21:38:53,0.259
26-09-2024,21:38:54,0.263
26-09-2024,21:38:55,0.262
26-09-2024,21:38:56,0.239
26-09-2024,21:38:57,0.215
